booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,P1945887,3D,Isaac Bakshi,+91-6478475128
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,L3482012,18A,Anvi Konda,+91-6647078662
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,G8507659,30C,Udant Dewan,+91-8405938220
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,M0891776,33A,Harsh Chahal,+91-6264636839
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,N5742231,25C,Pahal Balay,+91-9336478266
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,B0402369,13D,Ayushman Chander,+91-7558392726
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,W9430120,17F,Tejas Kaul,+91-9945047864
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,C3727117,22E,Yashasvi Bala,+91-8603505776
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,J9885582,34F,Rushil Saini,+91-8965638807
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,Y3306745,33C,Thomas Sen,+91-9877686278
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,N0944128,15B,Arunima Ahuja,+91-7598589414
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,E1885666,22C,Nathaniel Sami,+91-6360376153
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,F9715066,28B,Harini Mall,+91-9608066860
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,A5514377,26E,Nachiket Kale,+91-7535206561
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,P3439252,21E,Gayathri Chaudry,+91-9188989979
B1015,P1431,UK094,2025-10-21 11:37:36.951,UNKNOWN,D1102867,6F,George Rai,+91-7155145012
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,A7202455,6A,Gunbir Parmer,+91-7432610204
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,L1091090,13B,Hemangini Lalla,+91-9984968257
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,T1494981,19B,Caleb Sharaf,+91-6596430106
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,Y4281793,19A,Jeet Radhakrishnan,+91-9463630835
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,F7758446,27B,Farhan Memon,+91-8815386249
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,L3372201,4E,Janaki Handa,+91-6258570161
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,D7221455,16F,Ekaraj Bath,+91-9567437221
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,P1894370,24B,Vedant Mann,+91-9305609325
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,M1004627,30F,Fariq Kaul,+91-9941518072
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,L7256592,1B,Harrison Rai,+91-8546462966
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,C7520238,32C,Arunima Setty,+91-7873936345
B1027,P1972,UK036,2025-07-25 11:37:36.951,CONFIRMED,F6005595,22A,Janya Gaba,+91-6618400795
B1028,P1601,SJ239,2025-05-25 11:37:36.951,CANCELLED,V3325848,26E,Kamala Pant,+91-7567010757
B1029,P1540,6F025,2025-06-06 11:37:36.951,CANCELLED,B7984870,19C,Shaurya Loke,+91-6537374016
B1030,P1946,6F236,2026-03-18 11:37:36.951,CANCELLED,X1767993,21E,Ekbal Garg,+91-7582401429
B1031,P1816,AI060,2025-11-16 11:37:36.951,CANCELLED,J4039464,1E,Yash Gade,+91-7143533949
B1032,P1938,UK021,2025-09-03 11:37:36.951,CANCELLED,H7360601,18E,Turvi Raghavan,+91-9117548599
B1033,P1987,UK026,2025-05-06 11:37:36.951,UNKNOWN,V4907938,19A,Anamika Kanda,+91-7517714041
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,W5283061,22F,Ekta Bhalla,+91-7615250606
B1035,P1839,6F251,2025-08-21 11:37:36.951,PENDING,A1242446,11D,Veer Balay,+91-7882931517
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,F5144881,5B,Diya Rattan,+91-6103573647
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,H1421751,33E,Amrita Bhatti,+91-9648445418
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,D7941515,12D,Siddharth Murty,+91-7685516192
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,J0911225,11E,Simon Tata,+91-7613989854
B1040,P1646,6F099,2025-08-08 11:37:36.951,CONFIRMED,Z5056618,26B,Meghana Shanker,+91-7304165230
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,Y7913787,25C,Luke Lanka,+91-8313796035
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,B0730950,24F,Liam Koshy,+91-8546175890
B1043,P1872,6F195,2025-11-22 11:37:36.951,CANCELLED,A5712198,8E,Adya Sangha,+91-7608341388
B1044,P1282,6F174,2026-04-12 11:37:36.951,PENDING,T8851905,16C,Mohini Pathak,+91-9415090954
B1045,P1057,SJ214,2026-03-19 11:37:36.951,UNKNOWN,B1042462,18C,Theodore Devi,+91-9179883432
B1046,P1813,UK059,2025-10-14 11:37:36.951,CONFIRMED,V5174460,2C,Yashodhara Tak,+91-8298401874
B1047,P1833,6F151,2025-12-29 11:37:36.951,PENDING,C2899151,7C,Gavin Batta,+91-8441784608
B1048,P1536,SJ236,2025-09-19 11:37:36.951,PENDING,D2939130,18C,Imaran Dua,+91-6971424278
B1049,P1072,SJ153,2025-07-28 11:37:36.951,UNKNOWN,W9848416,3C,Nathaniel Sami,+91-9199823067
B1050,P1884,AI220,2026-01-15 11:37:36.951,PENDING,L4021190,7D,Devansh Rajan,+91-6603824482
B1051,P1922,6F028,2025-07-05 11:37:36.951,CANCELLED,M6814298,16A,Lakshmi Sidhu,+91-8280796443
B1052,P1128,UK209,2025-12-30 11:37:36.951,CANCELLED,F9107322,33B,Zayan Apte,+91-9105676326
B1053,P1598,UK216,2026-04-01 11:37:36.951,PENDING,V4937830,28B,Ishwar Yadav,+91-9306665009
B1054,P1841,AI132,2026-04-11 11:37:36.951,CANCELLED,V4526969,19C,Amara Oak,+91-7761838191
B1055,P1425,6F012,2025-10-14 11:37:36.951,CANCELLED,D6497016,13F,Isaac Memon,+91-8842277684
B1056,P1947,UK173,2026-03-24 11:37:36.951,CANCELLED,E9291320,15B,Radhika Dugar,+91-6885176381
B1057,P1664,SJ047,2025-08-20 11:37:36.951,CANCELLED,C6234190,14F,Sudiksha Aggarwal,+91-6991174263
B1058,P1693,SJ043,2025-12-07 11:37:36.951,PENDING,A6153722,8C,Adya Tella,+91-8541444081
B1059,P1124,UK140,2026-01-03 11:37:36.951,CONFIRMED,N8473236,23B,Pranav Tripathi,+91-7626040433
B1060,P1066,6F086,2025-12-30 11:37:36.951,CONFIRMED,T4604067,11A,Hitesh Misra,+91-6903507113
B1061,P1005,6F114,2026-04-05 11:37:36.951,CANCELLED,R8436142,19C,Yashica Issac,+91-7557577530
B1062,P1636,UK153,2025-06-12 11:37:36.951,CANCELLED,A7819754,15D,Michael Prakash,+91-7839197050
B1063,P1313,6F149,2025-05-19 11:37:36.951,CANCELLED,J7642737,9A,Neel Zacharia,+91-7792800081
B1064,P1325,UK145,2025-09-14 11:37:36.951,CONFIRMED,T6388214,24E,Aadi Naik,+91-8840782918
B1065,P1564,UK010,2026-03-06 11:37:36.951,CANCELLED,D4846019,7B,Vrinda Bahl,+91-8370688991
B1066,P1577,SJ003,2025-11-05 11:37:36.951,PENDING,H8998278,1B,Isaac Patil,+91-6451518025
