passenger_id,first_name,last_name,age,gender,email,phone,aadhaar_id,date_of_birth
P1000,Vivaan,Chatterjee,52,F,MASKED,MASKED,MASKED,1974-04-08
P1001,Krishna,Reddy,15,M,MASKED,MASKED,MASKED,2011-03-07
P1002,Myra,Naidu,72,M,MASKED,MASKED,MASKED,1954-09-10
P1003,Myra,Mishra,61,F,MASKED,MASKED,MASKED,1965-03-12
P1004,Saanvi,Banerjee,21,M,MASKED,MASKED,MASKED,2005-11-11
P1005,Reyansh,Joshi,83,M,MASKED,MASKED,MASKED,1943-03-09
P1006,Kavya,Nair,87,M,MASKED,MASKED,MASKED,1939-02-25
P1007,Sara,Joshi,75,M,MASKED,MASKED,MASKED,1951-11-24
P1008,Kavya,Pillai,75,M,MASKED,MASKED,MASKED,1951-11-10
P1009,Sai,Kulkarni,88,M,MASKED,MASKED,MASKED,1938-04-02
P1010,Sai,Agarwal,24,M,MASKED,MASKED,MASKED,2002-04-18
P1011,Sara,Naidu,3,M,MASKED,MASKED,MASKED,2023-04-19
P1012,Arjun,Patel,22,M,MASKED,MASKED,MASKED,2004-03-24
P1013,Sara,Iyer,53,M,MASKED,MASKED,MASKED,1973-01-13
P1014,Anika,Banerjee,2,F,MASKED,MASKED,MASKED,2024-09-04
P1015,Aadhya,Verma,88,F,MASKED,MASKED,MASKED,1938-05-26
P1016,Vivaan,Naidu,30,M,MASKED,MASKED,MASKED,1996-01-19
P1017,Reyansh,Chatterjee,38,F,MASKED,MASKED,MASKED,1988-10-02
P1018,Ira,Ghosh,2,F,MASKED,MASKED,MASKED,2024-08-11
P1019,Diya,Patel,64,M,MASKED,MASKED,MASKED,1962-06-10
P1020,Ananya,Khan,60,M,MASKED,MASKED,MASKED,1966-12-18
P1021,Kavya,Naidu,21,M,MASKED,MASKED,MASKED,2005-01-01
P1022,Shaurya,Joshi,33,F,MASKED,MASKED,MASKED,1993-06-19
P1023,Aditya,Patel,76,F,MASKED,MASKED,MASKED,1950-10-24
P1024,Vivaan,Sharma,58,M,MASKED,MASKED,MASKED,1968-08-08
P1025,Aarav,Chatterjee,22,M,MASKED,MASKED,MASKED,2004-07-22
P1026,Ira,Ghosh,89,M,MASKED,MASKED,MASKED,1937-10-17
P1027,Reyansh,Banerjee,49,F,MASKED,MASKED,MASKED,1977-10-11
P1028,Aadhya,Mishra,59,F,MASKED,MASKED,MASKED,1967-10-10
P1029,Diya,Ghosh,42,F,MASKED,MASKED,MASKED,1984-12-06
P1030,Aditya,Kulkarni,60,F,MASKED,MASKED,MASKED,1966-10-28
P1031,Shaurya,Patel,80,M,MASKED,MASKED,MASKED,1946-12-17
P1032,Kavya,Gupta,15,M,MASKED,MASKED,MASKED,2011-07-27
P1033,Aadhya,Kulkarni,62,M,MASKED,MASKED,MASKED,1964-04-09
P1034,Ishaan, Iyer,62,M,MASKED,MASKED,MASKED,1964-08-14
P1035,Vivaan,Ghosh,47,F,MASKED,MASKED,MASKED,1979-09-01
